"PRODUCT","name_mapping","name"
"Zarude V (Full Art)","zarude","Zarude"
"Zebstrika","zebstrika","Zebstrika"
"Zekrom","zekrom","Zekrom"
"Zeraora","zeraora","Zeraora"
"Zygarde","zygarde","Zygarde"
"Absol","absol","Absol"
"Alcremie V","alcremie","Alcremie"
"Alcremie VMAX","alcremie","Alcremie"
"Altaria","altaria","Altaria"
"Arbok","arbok","Arbok"
"Bede","bede",NA
"Beedrill","beedrill","Beedrill"
"Carvanha","carvanha","Carvanha"
"Centiskorch","centiskorch","Centiskorch"
"Charizard V (Secret)","charizard","Charizard"
"Charizard VMAX (Secret)","charizard","Charizard"
"Drednaw V","drednaw","Drednaw"
"Drednaw V (Full Art)","drednaw","Drednaw"
"Drednaw VMAX","drednaw","Drednaw"
"Drednaw VMAX (Secret)","drednaw","Drednaw"
"Duraludon V","duraludon","Duraludon"
"Ekans","ekans","Ekans"
"Eldegoss V","eldegoss","Eldegoss"
"Full Heal","full heal",NA
"Galarian Cursola V","cursola","Cursola"
"Galarian Cursola V (Full Art)","cursola","Cursola"
"Galarian Linoone","linoone","Linoone"
"Galarian Obstagoon","obstagoon","Obstagoon"
"Galarian Zigzagoon","zigzagoon","Zigzagoon"
"Gardevoir V","gardevoir","Gardevoir"
"Gardevoir V (Full Art)","gardevoir","Gardevoir"
"Gardevoir VMAX","gardevoir","Gardevoir"
"Gardevoir VMAX (Secret)","gardevoir","Gardevoir"
"Grapploct V","grapploct","Grapploct"
"Grapploct V (Full Art)","grapploct","Grapploct"
"Great Ball","great ball",NA
"Hatenna","hatenna","Hatenna"
"Hatterene","hatterene","Hatterene"
"Hattrem","hattrem","Hattrem"
"Hop","hop",NA
"Hop (Full Art)","hop",NA
"Hyper Potion","hyper potion",NA
"Incineroar V","incineroar","Incineroar"
"Inkay","inkay","Inkay"
"Kabu","kabu",NA
"Kabu (Secret)","kabu",NA
"Kakuna","kakuna","Kakuna"
"Liepard","liepard","Liepard"
"Lucario V","lucario","Lucario"
"Lycanroc","lycanroc","Lycanroc"
"Machamp","machamp","Machamp"
"Machoke","machoke","Machoke"
"Machop","machop","Machop"
"Malamar","malamar","Malamar"
"Marnie","marnie",NA
"Milo","milo",NA
"Nickit","nickit","Nickit"
"Piers","piers",NA
"Piers (Secret)","piers",NA
"Poke Ball","poke ball",NA
"Pokemon Center Lady","pokemon center lady",NA
"Potion","potion",NA
"Professor's Research","professor's research",NA
"Purrloin","purrloin","Purrloin"
"Rockruff","rockruff","Rockruff"
"Rolycoly","rolycoly","Rolycoly"
"Rotom Bike","rotom bike",NA
